Member/Customer Number,IEEE Status,Renew Year
96655894,Inactive,2020
96687291,Inactive,2020
96687348,Inactive,2021
96687371,Inactive,2020
96808281,Active,2023
96986573,Applicant,
96996114,Arrears,2022
97290404,Applicant,
97303385,Applicant,
97308478,Applicant,
97450815,Arrears,2022
97450974,Active,2023
97451024,Active,2023
97452487,Arrears,2022
97452510,Active,2023
97452552,Inactive,2021
97452606,Inactive,2021
97452756,Arrears,2022
97453695,Arrears,2022
97453723,Inactive,2021
97453878,Arrears,2022
97453937,Active,2023
97453972,Arrears,2022
97454334,Active,2023
97454566,Active,2023
97454725,Inactive,2021
97454736,Inactive,2021
97454744,Active,2023
97454768,Applicant,
97454804,Arrears,2022
97454828,Active,2023
97454840,Inactive,2021
97466066,Inactive,2021
97487138,Applicant,
97503402,Inactive,2021
97504647,Applicant,
97508265,Inactive,2021
97508297,Inactive,2021
97508310,Inactive,2021
97508621,Inactive,2021
97512412,Active,2023
97513294,Inactive,2021
97513325,Inactive,2021
97513623,Applicant,
97514565,Inactive,2021
97528279,Inactive,2021
97538573,Arrears,2022
97547821,Inactive,2021
97547832,Inactive,2021
97548048,Active,2023
97673101,Applicant,
97679640,Applicant,
97689765,Applicant,
97722713,Applicant,
97723607,Arrears,2022
97723649,Inactive,2021
97723659,Inactive,2021
97723660,Inactive,2021
97723664,Inactive,2021
97723671,Arrears,2022
97723675,Arrears,2022
97723680,Inactive,2021
97723685,Inactive,2021
97723687,Arrears,2022
97723688,Arrears,2022
97723701,Inactive,2021
97723711,Inactive,2021
97724244,Inactive,2021
97724251,Active,2023
97724265,Inactive,2021
97724883,Inactive,2021
97724890,Inactive,2021
97724927,Arrears,2022
97724960,Inactive,2021
97724978,Inactive,2021
97725128,Inactive,2021
97725170,Inactive,2021
97725173,Active,2023
97725386,Inactive,2021
97725417,Arrears,2022
97725425,Arrears,2022
97726734,Inactive,2021
97726816,Inactive,2021
97726831,Applicant,
97726844,Inactive,2021
97726869,Inactive,2021
97726880,Inactive,2021
97726887,Active,2023
97726928,Inactive,2021
97727309,Inactive,2021
97727333,Arrears,2022
97727375,Inactive,2021
97727385,Inactive,2021
97727397,Inactive,2021
97727428,Inactive,2021
97727442,Inactive,2021
97727501,Inactive,2021
97727523,Inactive,2021
97727567,Inactive,2021
97727568,Inactive,2021
97727602,Inactive,2021
97727629,Inactive,2021
97729143,Applicant,
97730452,Active,2023
97730472,Inactive,2021
97730488,Inactive,2021
97730515,Inactive,2021
97730549,Active,2023
97730577,Arrears,2022
97730604,Inactive,2021
97730624,Inactive,2021
97730641,Active,2023
97731805,Active,2023
97731809,Inactive,2021
97733586,Active,2023
97733646,Inactive,2021
97733650,Inactive,2021
97769577,Inactive,2021
97806205,Inactive,2021
97879931,Applicant,
97943818,Applicant,
97948755,Arrears,2022
97948774,Arrears,2022
97948807,Arrears,2022
97948855,Arrears,2022
97948856,Active,2023
97948860,Arrears,2022
97952810,Arrears,2022
97952821,Arrears,2022
97952827,Arrears,2022
97952834,Arrears,2022
97952848,Arrears,2022
97952861,Active,2023
97952874,Arrears,2022
97952912,Arrears,2022
97952919,Arrears,2022
97952921,Arrears,2022
97952922,Arrears,2022
97952927,Active,2023
97952933,Applicant,
97952937,Arrears,2022
97952982,Arrears,2022
97954635,Arrears,2022
97954671,Active,2023
97954707,Arrears,2022
97954710,Arrears,2022
97954713,Arrears,2022
97954716,Arrears,2022
97954717,Arrears,2022
97954720,Active,2023
97954722,Arrears,2022
97954725,Active,2023
97954728,Arrears,2022
97954732,Arrears,2022
97954738,Arrears,2022
97954741,Arrears,2022
97954745,Arrears,2022
97954758,Arrears,2022
97954786,Arrears,2022
97954791,Arrears,2022
97955166,Active,2023
97955192,Active,2023
97955217,Active,2023
97955402,Arrears,2022
97955418,Arrears,2022
97957014,Arrears,2022
97957032,Arrears,2022
97957047,Active,2023
97957055,Arrears,2022
97957067,Arrears,2022
97957068,Arrears,2022
97957079,Arrears,2022
97957082,Arrears,2022
97957086,Arrears,2022
97957115,Arrears,2022
97957118,Arrears,2022
97957121,Arrears,2022
97957125,Active,2023
97957136,Arrears,2022
97957143,Arrears,2022
97957152,Arrears,2022
97957160,Arrears,2022
97957176,Arrears,2022
97957178,Arrears,2022
97957197,Active,2023
97962944,Arrears,2022
97962954,Arrears,2022
97962965,Active,2023
97962979,Active,2023
97962983,Arrears,2022
97962994,Arrears,2022
97962999,Arrears,2022
97963004,Arrears,2022
97963008,Arrears,2022
97963977,Arrears,2022
97963979,Arrears,2022
97963983,Arrears,2022
97964866,Active,2023
97964902,Arrears,2022
97964919,Arrears,2022
97964928,Arrears,2022
97976207,Arrears,2022
98010202,Arrears,2022
98089222,Active,2023
98238020,Applicant,
98277659,Applicant,
98310108,Applicant,
98390259,Applicant,
98403061,Arrears,2022
98403104,Arrears,2022
98405060,Arrears,2022
98405062,Arrears,2022
98405064,Arrears,2022
98405104,Arrears,2022
98405109,Arrears,2022
98405122,Arrears,2022
98405133,Arrears,2022
98405139,Active,2023
98405140,Active,2023
98405142,Arrears,2022
98405143,Arrears,2022
98405155,Arrears,2022
98405165,Arrears,2022
98405176,Arrears,2022
98405184,Arrears,2022
98405185,Arrears,2022
98405188,Arrears,2022
98405206,Arrears,2022
98405211,Arrears,2022
98405378,Arrears,2022
98405635,Arrears,2022
98405643,Arrears,2022
98405648,Arrears,2022
98405654,Arrears,2022
98405777,Arrears,2022
98405846,Arrears,2022
98405862,Arrears,2022
98405864,Arrears,2022
98405938,Arrears,2022
98405976,Active,2023
98405979,Arrears,2022
98406056,Arrears,2022
98406078,Arrears,2022
98406112,Arrears,2022
98406129,Arrears,2022
98406217,Arrears,2022
98406273,Arrears,2022
98406298,Arrears,2022
98406301,Arrears,2022
98406311,Arrears,2022
98406326,Arrears,2022
98406356,Arrears,2022
98406427,Arrears,2022
98406440,Arrears,2022
98406467,Arrears,2022
98406672,Arrears,2022
98406899,Arrears,2022
98406907,Arrears,2022
98407112,Arrears,2022
98407406,Arrears,2022
98407425,Arrears,2022
98407446,Arrears,2022
98407509,Arrears,2022
98407610,Arrears,2022
98407649,Arrears,2022
98407666,Active,2023
98408069,Arrears,2022
98408227,Arrears,2022
98408235,Arrears,2022
98408238,Arrears,2022
98408250,Active,2023
98408261,Arrears,2022
98408262,Arrears,2022
98408265,Active,2023
98408321,Active,2023
98408322,Arrears,2022
98408333,Arrears,2022
98408336,Arrears,2022
98408338,Applicant,
98408341,Applicant,
98408399,Active,2023
98408403,Arrears,2022
98408504,Arrears,2022
98408511,Arrears,2022
98408873,Arrears,2022
98408904,Arrears,2022
98409093,Active,2023
98409182,Active,2023
98409273,Arrears,2022
98409516,Arrears,2022
98409901,Arrears,2022
98409944,Arrears,2022
98410442,Arrears,2022
98410612,Arrears,2022
98410668,Arrears,2022
98411253,Active,2023
98411406,Arrears,2022
98412345,Arrears,2022
98412600,Arrears,2022
98412700,Arrears,2022
98413257,Arrears,2022
98413971,Arrears,2022
98414001,Arrears,2022
98414465,Active,2023
98414534,Arrears,2022
98414605,Arrears,2022
98416013,Arrears,2022
98417721,Arrears,2022
98418239,Arrears,2022
98420317,Arrears,2022
98423829,Arrears,2022
98423876,Arrears,2022
98424294,Arrears,2022
98424641,Arrears,2022
98424746,Arrears,2022
98424761,Arrears,2022
98424796,Arrears,2022
98425304,Arrears,2022
98426706,Arrears,2022
98480919,Applicant,
98482171,Arrears,2022
98486713,Applicant,
98493173,Arrears,2022
98494504,Arrears,2022
98494640,Arrears,2022
98499155,Arrears,2022
98507008,Arrears,2022
98507058,Arrears,2022
98507062,Arrears,2022
98507148,Arrears,2022
98507181,Arrears,2022
98508008,Active,2023
98508025,Arrears,2022
98508037,Arrears,2022
98508089,Arrears,2022
98508093,Arrears,2022
98508212,Active,2023
98508236,Arrears,2022
98508291,Arrears,2022
98508292,Arrears,2022
98508776,Applicant,
98509266,Arrears,2022
98509273,Arrears,2022
98509275,Arrears,2022
98509287,Arrears,2022
98509334,Arrears,2022
98509518,Arrears,2022
98509620,Arrears,2022
98509622,Applicant,
98509681,Arrears,2022
98509698,Arrears,2022
98509710,Arrears,2022
98509748,Arrears,2022
98509763,Arrears,2022
98509778,Arrears,2022
98511222,Arrears,2022
98511235,Arrears,2022
98511343,Arrears,2022
98511450,Arrears,2022
98511596,Arrears,2022
98511705,Arrears,2022
98511715,Active,2023
98511728,Arrears,2022
98511738,Arrears,2022
98511767,Arrears,2022
98511819,Arrears,2022
98511859,Arrears,2022
98513257,Arrears,2022
98513286,Arrears,2022
98513294,Arrears,2022
98513339,Arrears,2022
98513350,Arrears,2022
98513432,Arrears,2022
98513435,Arrears,2022
98513464,Active,2023
98513479,Arrears,2022
98513541,Arrears,2022
98513548,Arrears,2022
98513559,Arrears,2022
98513773,Arrears,2022
98513776,Arrears,2022
98513966,Arrears,2022
98514511,Arrears,2022
98515253,Arrears,2022
98515336,Arrears,2022
98515337,Applicant,
98515343,Arrears,2022
98515357,Arrears,2022
98515365,Arrears,2022
98515515,Arrears,2022
98515520,Arrears,2022
98515564,Arrears,2022
98515709,Arrears,2022
98515716,Arrears,2022
98515720,Arrears,2022
98515760,Arrears,2022
98541337,Applicant,
98541518,Arrears,2022
98578964,Arrears,2022
98614568,Active,2023
98615860,Active,2023
98642802,Active,2023
98714456,Active,2023
98714542,Active,2023
98714578,Active,2023
98714625,Active,2023
98714653,Active,2023
98714914,Active,2023
98717402,Active,2023
98717413,Active,2023
98717430,Active,2023
98717434,Active,2023
98717453,Active,2023
98717486,Active,2023
98717506,Active,2023
98717543,Active,2023
98717825,Active,2023
98717832,Active,2023
98717876,Active,2023
98717887,Active,2023
98718072,Active,2023
98718078,Active,2023
98718121,Active,2023
98718125,Active,2023
98718135,Active,2023
98718148,Active,2023
98718229,Active,2023
98718375,Active,2023
98718424,Active,2023
98718425,Applicant,
98720713,Active,2023
98720729,Active,2023
98720731,Active,2023
98720744,Active,2023
98720765,Active,2023
98720767,Active,2023
98720833,Active,2023
98720924,Active,2023
98720962,Active,2023
98721025,Applicant,
98721063,Active,2023
98721069,Active,2023
98721097,Active,2023
98721107,Active,2023
98721110,Active,2023
98721119,Active,2023
98721165,Active,2023
98721191,Active,2023
98721258,Active,2023
98721374,Active,2023
98721384,Active,2023
98721427,Active,2023
98721444,Active,2023
98721460,Active,2023
98721506,Active,2023
98721512,Active,2023
98721563,Active,2023
98721650,Active,2023
98723718,Applicant,
98723834,Applicant,
98725386,Active,2023
98730850,Active,2023
98732037,Applicant,
98767279,Applicant,
98879062,Applicant,
99021742,Applicant,
99078827,Active,2023
99079121,Applicant,
99080069,Active,2023
99080093,Active,2023
99094982,Applicant,
99128323,Applicant,
99128351,Active,2023
99128527,Active,2023
99128663,Active,2023
99128808,Active,2023
99128876,Active,2023
99128906,Active,2023
99129090,Active,2023
99130998,Active,2023
99131003,Active,2023
99131127,Active,2023
99131140,Active,2023
99131163,Active,2023
99131218,Active,2023
99131323,Active,2023
99131340,Active,2023
99131358,Active,2023
99131366,Active,2023
99131390,Active,2023
99131410,Active,2023
99131598,Active,2023
99131798,Active,2023
99131866,Active,2023
99131878,Active,2023
99132004,Active,2023
99132024,Active,2023
99132080,Active,2023
99134151,Active,2023
99134253,Active,2023
99134280,Active,2023
99134294,Active,2023
99134452,Active,2023
99134488,Active,2023
99134554,Active,2023
99134594,Active,2023
99134608,Active,2023
99134665,Active,2023
99134681,Active,2023
99134713,Active,2023
99134724,Active,2023
99134745,Active,2023
99134797,Active,2023
99134801,Active,2023
99134842,Active,2023
99134849,Active,2023
99134850,Active,2023
99134857,Active,2023
99134910,Applicant,
99134999,Active,2023
99135031,Active,2023
99135060,Active,2023
99135112,Applicant,
99135120,Active,2023
99135141,Active,2023
99135173,Active,2023
99135227,Active,2023
99135239,Active,2023
99135249,Active,2023
99135268,Active,2023
99135301,Active,2023
99135306,Active,2023
99135330,Active,2023
99135368,Active,2023
99135387,Active,2023
99135426,Active,2023
99135436,Active,2023
99135451,Active,2023
99135452,Active,2023
99135462,Active,2023
99135504,Active,2023
99135574,Active,2023
99161031,Active,2023
97518962,Applicant,
